time;x;y;z;w;velocidad;voltaje;trama
15:17:07:132;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:142;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:152;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:162;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:172;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:182;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:192;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:232;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:212;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:222;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:202;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:242;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:252;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:262;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:272;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:282;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:292;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:302;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:312;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:322;17018;3622;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:332;17018;3623;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:342;17018;3623;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:352;17018;3623;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:362;17018;3625;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:381;17018;3625;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:382;17018;3625;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:392;17018;3625;6226;6095;5F;8.09;a5Fb5Fc5Fd5F
15:17:07:402;17018;3625;6227;6095;5F;8.09;a5Fb5Fc5Fd5F
