time;x;y;z;w;velocidad;voltaje;trama
16:35:31:671;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:31:772;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:31:871;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:31:971;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:070;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:171;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:279;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:370;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:470;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:570;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:668;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:681;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:690;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:700;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:711;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:720;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:730;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:740;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:750;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:768;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:802;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:802;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:803;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:803;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:810;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:820;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:830;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:840;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:856;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:860;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:871;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:881;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:890;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:900;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:910;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:920;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:936;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:941;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:950;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:960;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:970;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:980;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:32:990;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:000;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:010;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:020;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:030;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:040;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:050;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:060;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:071;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:080;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:091;0;0;0;0;9F;8.09;A9FB9FC9FD9F
16:35:33:101;0;0;0;0;9F;8.09;A9FB9FC9FD9F
