time;x;y;z;w;velocidad;voltaje;trama
14:17:00:471;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:00:571;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:00:670;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:00:771;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:00:871;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:00:980;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:069;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:081;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:091;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:101;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:110;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:121;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:131;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:141;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:151;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:161;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:171;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:181;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:191;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:201;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:211;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:221;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:231;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:241;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:251;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:261;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:271;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:281;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:290;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:301;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:311;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:321;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:331;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:342;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:351;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:361;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:371;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:384;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:391;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:401;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:411;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:420;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:431;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:441;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:451;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:461;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:471;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:490;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:490;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:503;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:511;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:521;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:531;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:540;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:550;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:561;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:571;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:581;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:590;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:601;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:611;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:621;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:631;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:640;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:651;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:661;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:670;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:681;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:691;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:701;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:711;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:721;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:731;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:740;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:751;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:761;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:771;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:781;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:790;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:800;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:811;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:820;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:830;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:840;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:850;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:861;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:870;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:880;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:891;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:900;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:911;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:920;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:931;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:940;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:951;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:960;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:971;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:01:980;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:001;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:001;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:022;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:023;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:031;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:040;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:051;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:061;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:070;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:080;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:091;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:101;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:111;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:120;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:131;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:140;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:150;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:160;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:170;0;0;0;0;BF;8.09;ABFBBFCBFDBF
14:17:02:180;0;0;0;0;BF;8.09;ABFBBFCBFDBF
