time;x;y;z;w;velocidad;voltaje;trama
16:07:11:741;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:751;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:761;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:771;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:781;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:792;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:801;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:811;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:821;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:831;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:845;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:851;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:861;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:871;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:881;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:893;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:901;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:911;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:921;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:931;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:953;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:953;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:961;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:972;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:981;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:11:991;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:002;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:011;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:021;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:031;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:041;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:051;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:061;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:071;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:081;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:091;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:101;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:114;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:121;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:131;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:141;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:151;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:162;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:171;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:181;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:191;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:201;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:211;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:221;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:231;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:242;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:252;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:262;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
16:07:12:271;17107;6503;7246;6061;BF;8.01;aBFbBFcBFdBF
