time;x;y;z;w;velocidad;voltaje
16:24:20:858;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:867;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:877;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:887;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:898;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:910;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:918;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:927;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:937;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:947;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:957;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:967;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:977;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:987;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:20:997;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:008;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:017;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:028;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:037;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:049;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:057;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:067;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:077;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:087;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:099;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:107;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:118;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:127;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:138;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:152;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:157;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:171;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:187;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:187;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:198;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:207;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:217;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:228;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:237;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:256;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:257;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:267;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:277;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:287;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:297;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:307;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:317;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:328;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:337;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:347;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:357;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:367;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:377;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:387;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:397;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:407;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:417;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:427;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:437;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:447;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:457;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:467;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:477;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:487;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:498;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:508;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:518;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:527;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:537;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:547;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:557;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:567;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:577;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:587;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:598;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:607;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:617;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:627;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:637;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:648;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:658;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:667;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:678;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:687;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:698;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:708;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:717;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:727;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:737;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:748;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:767;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:768;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:777;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:787;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:797;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:808;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:818;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:827;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:838;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:848;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:857;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:867;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:877;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:887;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:898;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:907;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:920;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:928;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:937;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:948;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:958;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:971;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:978;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:987;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:998;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:007;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:017;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:027;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:037;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:047;17281;6740;7585;6406;DF;aDFbDFcDFdEF
