time;x;y;z;w;velocidad;voltaje;trama
14:13:43:844;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:854;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:870;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:874;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:884;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:894;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:907;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:914;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:924;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:934;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:944;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:954;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:964;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:974;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:984;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:43:994;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:004;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:014;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:024;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:034;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:044;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:054;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:064;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:074;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:084;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:094;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:105;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:114;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:124;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:134;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:144;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:154;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:164;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:174;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:184;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:194;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:204;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:214;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:224;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:234;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:244;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:254;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:264;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:274;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:284;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:294;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:304;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:315;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:324;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:334;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:344;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:354;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:364;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:384;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:384;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:394;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:404;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:414;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:424;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:434;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:444;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:455;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:469;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:474;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:484;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:494;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:504;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:514;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:524;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:534;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:544;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:554;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:564;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:574;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:584;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:594;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:604;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:614;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:624;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:634;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:644;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:654;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:664;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:674;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:684;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:694;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:704;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:714;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:724;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:734;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:744;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:754;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:764;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:774;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:784;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:796;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:804;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:814;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:824;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:834;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:844;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:854;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:864;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:874;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:893;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:894;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:904;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:914;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:924;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:934;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:944;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:954;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:964;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:974;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:984;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:44:994;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:45:005;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:45:014;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:45:024;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:45:034;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
14:13:45:044;17149;6526;7748;6283;DF;8.09;aDFbDFcDFdDF
