time;x;y;z;w;velocidad;voltaje;trama
16:09:13:512;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:602;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:703;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:803;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:901;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:912;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:953;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:962;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:933;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:922;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:943;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:972;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:982;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:13:993;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:003;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:021;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:022;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:032;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:042;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:052;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:063;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:072;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:082;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:092;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:102;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:112;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:129;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:132;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:142;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:155;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:162;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:172;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:182;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:192;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:203;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:212;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:222;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:232;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:242;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:252;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:262;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:272;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:282;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:292;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:302;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:312;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:322;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:335;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:342;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:352;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:362;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:372;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:382;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:392;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:402;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:412;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:425;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:433;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:442;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:452;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:462;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:472;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:482;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:492;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:502;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:512;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:531;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:532;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:542;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:552;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:563;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:575;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:582;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:593;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:602;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:613;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:622;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:632;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:642;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:652;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:662;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:672;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:682;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:692;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:702;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:712;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:722;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:732;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:742;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:752;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:762;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:773;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:782;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:792;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:802;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:812;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:822;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:832;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:842;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:852;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:862;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:872;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:882;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:892;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:902;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:913;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:922;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:932;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:942;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:09:14:952;0;0;0;0;DF;8.01;ADFBDFCDFDDF
