time;x;y;z;w;velocidad;voltaje;trama
15:23:40:684;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:693;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:703;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:713;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:723;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:733;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:743;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:753;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:786;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:787;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:787;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:793;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:803;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:813;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:823;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:833;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:843;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:860;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:863;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:903;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:913;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:923;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:893;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:883;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:873;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:933;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:943;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:953;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:963;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:973;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:983;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:40:993;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:003;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:013;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:023;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:033;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:043;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:053;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:063;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:073;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:083;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:093;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:103;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:115;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:123;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:133;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:143;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:153;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:163;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:173;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:184;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:193;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:203;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:214;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:223;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:234;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:243;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:253;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:263;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:273;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:300;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:301;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:303;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:313;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:323;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:333;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:343;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:353;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:363;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:373;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:383;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:393;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:403;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:413;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:423;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:433;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:443;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:453;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:468;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:473;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:483;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:493;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:503;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:513;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:523;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:533;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:543;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:562;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:563;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:573;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:583;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:598;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:603;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:613;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:623;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:633;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:643;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:654;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:663;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:673;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:686;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:693;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:703;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:713;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:723;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:733;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:746;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:753;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:763;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:773;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
15:23:41:783;17307;6754;7697;6314;FF;8.09;aFFbFFcFFdFF
