time;x;y;z;w;velocidad;voltaje;trama
13:47:03:916;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:017;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:115;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:215;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:316;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:415;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:516;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:616;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:716;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:816;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:04:915;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:016;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:114;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:126;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:166;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:145;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:156;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:135;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:176;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:185;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:195;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:205;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:215;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:225;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:235;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:245;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:255;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:265;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:275;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:285;0;0;0;0;FF;8.09;AFFBFFCFFDFF
13:47:05:295;0;0;0;0;FF;8.09;AFFBFFCFFDFF
