time;x;y;z;w;velocidad;voltaje;trama
16:27:48:309;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:409;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:509;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:609;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:706;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:719;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:729;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:740;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:749;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:758;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:769;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:779;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:789;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:799;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:808;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:818;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:829;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:839;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:848;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:858;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:868;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:878;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:889;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:899;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:908;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:919;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:928;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:938;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:949;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:958;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:968;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:979;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:988;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:48:998;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:008;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:022;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:028;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:038;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:048;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:058;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:068;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:079;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:088;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:098;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:117;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:118;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:128;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:139;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:148;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:158;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:168;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:178;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:189;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:198;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:208;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:219;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:228;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:238;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:248;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:258;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:268;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:278;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:289;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:298;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:308;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:318;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:328;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:338;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:348;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:358;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:368;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:378;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:388;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:398;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:408;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:422;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:428;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:438;0;0;0;0;3F;7.94;A3FB3FC3FD3F
16:27:49:449;0;0;0;0;3F;7.94;A3FB3FC3FD3F
