time;x;y;z;w;velocidad;voltaje;trama
15:21:27:823;17080;5068;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:834;17080;5068;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:844;17080;5068;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:854;17080;5068;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:864;17080;5068;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:874;17080;5068;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:884;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:893;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:904;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:914;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:924;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:933;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:943;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:954;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:964;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:974;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:984;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:27:994;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:004;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:014;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:025;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:033;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:043;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:053;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:063;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:074;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:085;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:096;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:103;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:113;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:124;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:134;17080;5069;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:143;17080;5070;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:153;17080;5070;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:173;17080;5070;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:173;17080;5070;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:183;17080;5071;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:193;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:204;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:213;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:224;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:234;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:244;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:253;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:264;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:273;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:284;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:293;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:304;17080;5072;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:313;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:324;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:334;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:343;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:353;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:363;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:374;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:383;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:394;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:403;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:413;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:423;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:433;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:444;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:454;17080;5073;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:464;17080;5074;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:474;17080;5074;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:493;17080;5075;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:484;17080;5074;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:503;17080;5075;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:514;17080;5075;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:523;17080;5075;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:534;17080;5075;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:543;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:554;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:564;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:574;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:584;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:594;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:603;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:614;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:624;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:634;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:643;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:654;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:664;17080;5076;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:682;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:683;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:693;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:704;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:713;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:723;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:733;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:743;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:754;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:764;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:774;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:784;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:793;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:804;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:813;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:823;17080;5077;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:834;17080;5078;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:844;17080;5078;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:854;17080;5079;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:863;17080;5079;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:873;17080;5079;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:884;17080;5080;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:893;17080;5080;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:903;17080;5080;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:914;17080;5080;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:925;17080;5080;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:933;17080;5080;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:943;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:954;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:964;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:974;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:984;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:28:994;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:004;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:013;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:024;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:034;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:043;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:054;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:064;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:074;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:084;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:094;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:103;17080;5081;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:114;17080;5082;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:124;17080;5082;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:134;17080;5082;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:144;17080;5083;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:153;17080;5084;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:174;17080;5084;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:164;17080;5084;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:193;17080;5084;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:194;17080;5085;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:207;17080;5085;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:214;17080;5085;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:224;17080;5085;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:233;17080;5085;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:243;17080;5085;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:254;17080;5085;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:263;17080;5086;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:274;17080;5087;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:283;17080;5088;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:293;17080;5088;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:303;17080;5089;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
15:21:29:313;17080;5089;7505;6184;7F;8.09;a7Fb7Fc7Fd7F
