time;x;y;z;w;velocidad;voltaje;trama
16:19:06:227;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:237;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:246;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:256;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:266;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:276;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:286;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:296;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:306;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:317;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:326;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:336;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:346;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:362;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:366;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:376;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:386;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:396;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:406;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:416;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:427;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:436;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:446;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:456;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:466;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:476;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:486;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:496;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:506;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:516;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:526;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:537;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:546;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:556;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:566;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:585;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:586;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:596;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:606;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:616;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:626;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:636;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:646;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:656;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:666;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:676;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:686;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:696;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:706;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
16:19:06:716;17288;6520;7510;6196;BF;8.01;aBFbBFcBFdBF
