time;x;y;z;w;velocidad;voltaje;trama
16:26:30:481;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:30:581;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:30:681;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:30:781;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:30:881;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:30:979;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:30:991;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:001;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:011;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:021;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:031;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:041;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:051;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:062;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:071;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:081;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:121;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:101;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:114;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:091;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:131;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:141;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:151;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:165;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:172;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:181;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:191;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:201;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:211;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:221;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:231;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:241;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:251;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:261;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:271;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:281;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:291;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:301;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:311;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:321;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:332;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:341;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:351;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:361;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:371;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:381;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:391;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:401;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:411;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:421;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:431;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:441;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:461;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:462;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:472;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:481;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:494;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:501;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:511;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:521;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:531;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:541;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:551;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:561;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:571;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:581;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:591;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:601;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:611;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:621;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:631;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:645;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:651;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:661;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:671;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:685;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:694;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:701;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:711;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:721;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:733;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:741;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:751;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:761;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:771;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:781;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:791;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:801;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:811;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:821;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:831;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:841;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:851;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:861;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:871;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:881;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:893;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:901;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:911;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:921;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:931;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:941;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:951;0;0;0;0;BF;8.01;ABFBBFCBFDBF
16:26:31:970;3;3;2;3;BF;8.01;ABFBBFCBFDBF
16:26:31:971;15;13;12;15;BF;8.01;ABFBBFCBFDBF
16:26:31:981;34;31;29;34;BF;8.01;ABFBBFCBFDBF
16:26:31:992;58;53;51;59;BF;8.01;ABFBBFCBFDBF
16:26:32:001;87;80;78;89;BF;8.01;ABFBBFCBFDBF
16:26:32:011;120;111;109;123;BF;8.01;ABFBBFCBFDBF
16:26:32:022;157;144;143;160;BF;8.01;ABFBBFCBFDBF
16:26:32:032;196;180;180;201;BF;8.01;ABFBBFCBFDBF
16:26:32:042;238;218;219;244;BF;8.01;ABFBBFCBFDBF
16:26:32:052;282;258;260;290;BF;8.01;ABFBBFCBFDBF
16:26:32:062;328;299;303;337;BF;8.01;ABFBBFCBFDBF
16:26:32:071;376;342;347;385;BF;8.01;ABFBBFCBFDBF
16:26:32:082;424;386;392;435;BF;8.01;ABFBBFCBFDBF
16:26:32:092;473;430;439;486;BF;8.01;ABFBBFCBFDBF
16:26:32:102;523;476;486;537;BF;8.01;ABFBBFCBFDBF
16:26:32:111;574;523;534;589;BF;8.01;ABFBBFCBFDBF
16:26:32:122;626;571;582;640;BF;8.01;ABFBBFCBFDBF
16:26:32:131;678;618;630;692;BF;8.01;ABFBBFCBFDBF
16:26:32:143;730;666;680;744;BF;8.01;ABFBBFCBFDBF
16:26:32:151;782;714;729;796;BF;8.01;ABFBBFCBFDBF
16:26:32:162;836;762;779;847;BF;8.01;ABFBBFCBFDBF
16:26:32:171;889;810;830;899;BF;8.01;ABFBBFCBFDBF
16:26:32:181;942;858;880;951;BF;8.01;ABFBBFCBFDBF
16:26:32:192;996;906;931;1003;BF;8.01;ABFBBFCBFDBF
16:26:32:202;1050;955;982;1055;BF;8.01;ABFBBFCBFDBF
16:26:32:211;1104;1004;1034;1107;BF;8.01;ABFBBFCBFDBF
16:26:32:222;1158;1053;1085;1159;BF;8.01;ABFBBFCBFDBF
16:26:32:232;1212;1102;1137;1211;BF;8.01;ABFBBFCBFDBF
16:26:32:242;1266;1151;1190;1262;BF;8.01;ABFBBFCBFDBF
16:26:32:251;1320;1200;1242;1314;BF;8.01;ABFBBFCBFDBF
16:26:32:262;1375;1249;1294;1366;BF;8.01;ABFBBFCBFDBF
16:26:32:272;1429;1298;1346;1418;BF;8.01;ABFBBFCBFDBF
16:26:32:282;1484;1347;1399;1470;BF;8.01;ABFBBFCBFDBF
