time;x;y;z;w;velocidad;voltaje
16:22:12:845;0;0;0;0;DF;ADFBDFCDFDEF
16:22:12:944;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:044;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:144;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:244;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:344;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:444;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:542;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:554;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:564;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:583;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:584;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:594;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:604;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:644;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:614;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:624;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:634;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:654;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:664;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:674;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:684;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:694;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:704;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:714;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:724;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:734;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:744;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:754;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:764;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:774;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:784;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:794;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:804;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:814;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:824;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:834;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:844;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:854;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:864;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:874;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:884;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:894;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:904;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:914;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:924;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:934;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:944;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:954;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:964;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:974;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:992;0;0;0;0;DF;ADFBDFCDFDEF
16:22:13:994;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:004;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:014;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:024;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:034;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:044;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:054;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:064;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:074;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:094;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:094;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:104;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:114;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:124;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:134;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:144;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:154;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:164;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:174;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:184;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:196;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:204;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:214;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:224;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:234;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:244;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:254;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:264;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:274;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:284;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:294;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:304;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:314;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:324;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:334;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:344;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:354;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:364;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:374;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:384;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:396;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:404;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:414;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:424;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:435;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:444;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:454;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:464;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:474;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:484;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:494;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:504;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:514;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:524;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:534;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:544;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:554;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:564;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:574;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:584;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:603;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:604;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:614;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:624;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:634;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:644;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:654;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:664;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:675;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:684;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:694;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:704;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:714;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:724;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:734;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:745;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:754;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:764;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:774;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:784;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:794;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:804;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:814;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:824;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:834;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:844;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:854;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:864;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:874;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:884;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:894;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:904;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:914;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:924;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:934;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:946;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:954;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:964;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:974;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:984;0;0;0;0;DF;ADFBDFCDFDEF
16:22:14:994;0;0;0;0;DF;ADFBDFCDFDEF
16:22:15:004;0;0;0;0;DF;ADFBDFCDFDEF
16:22:15:014;0;0;0;0;DF;ADFBDFCDFDEF
16:22:15:024;0;0;0;0;DF;ADFBDFCDFDEF
16:22:15:034;0;0;0;0;DF;ADFBDFCDFDEF
