time;x;y;z;w;velocidad;voltaje;trama
16:17:31:502;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:511;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:521;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:531;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:541;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:551;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:561;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:571;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:582;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:591;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:601;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:611;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:621;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:631;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:641;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:651;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:661;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:671;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:681;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:691;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:701;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:711;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:721;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:731;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:741;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:751;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:761;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:771;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:781;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:791;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:801;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:811;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:821;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:831;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:841;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:853;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:861;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:871;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:881;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:891;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:903;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:911;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:921;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:941;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:941;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:951;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:961;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:971;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:981;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:31:991;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:001;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:011;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:021;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:031;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:041;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:051;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:061;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:071;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:081;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:091;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:102;17252;6524;7339;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:111;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:121;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:131;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:141;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:151;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:161;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:171;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:181;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:198;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:202;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:212;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:221;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:231;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:241;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:251;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:261;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:271;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:281;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:291;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:301;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:311;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:321;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
16:17:32:331;17252;6524;7338;6222;DF;8.01;aDFbDFcDFdDF
