time;x;y;z;w;velocidad;voltaje;trama
16:25:22:757;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:22:857;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:22:956;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:057;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:156;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:256;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:354;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:366;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:376;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:386;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:396;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:406;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:416;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:426;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:436;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:447;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:456;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:466;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:477;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:486;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:506;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:506;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:519;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:526;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:536;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:546;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:556;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:566;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:576;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:586;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:596;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:606;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:616;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:626;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:636;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:646;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:656;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:666;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:676;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:698;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:699;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:706;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:716;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:727;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:736;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:749;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:756;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:766;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:777;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:786;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:796;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:806;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:816;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:826;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:836;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:846;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:856;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:866;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:876;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:886;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:896;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:906;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:916;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:926;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:936;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:946;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:956;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:966;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:976;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:988;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:23:996;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:015;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:016;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:026;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:036;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:050;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:056;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:066;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:076;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:086;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:096;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:106;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:116;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:126;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:136;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:146;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:156;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:166;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:176;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:188;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:196;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:206;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:216;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:226;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:236;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:246;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:256;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:266;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:276;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:286;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:296;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:306;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:316;0;0;0;0;DF;8.01;ADFBDFCDFDDF
16:25:24:326;4;3;4;4;DF;8.01;ADFBDFCDFDDF
16:25:24:337;16;16;16;19;DF;8.01;ADFBDFCDFDDF
16:25:24:346;38;36;36;42;DF;8.01;ADFBDFCDFDDF
16:25:24:356;66;62;62;72;DF;8.01;ADFBDFCDFDDF
16:25:24:366;100;93;93;107;DF;8.01;ADFBDFCDFDDF
16:25:24:376;139;128;129;147;DF;8.01;ADFBDFCDFDDF
16:25:24:386;181;166;168;190;DF;8.01;ADFBDFCDFDDF
16:25:24:397;226;206;209;236;DF;8.01;ADFBDFCDFDDF
16:25:24:407;273;250;253;285;DF;8.01;ADFBDFCDFDDF
16:25:24:416;322;294;299;335;DF;8.01;ADFBDFCDFDDF
16:25:24:426;373;341;346;387;DF;8.01;ADFBDFCDFDDF
16:25:24:437;425;389;394;439;DF;8.01;ADFBDFCDFDDF
16:25:24:447;478;437;443;491;DF;8.01;ADFBDFCDFDDF
16:25:24:456;532;486;493;545;DF;8.01;ADFBDFCDFDDF
16:25:24:467;586;536;544;599;DF;8.01;ADFBDFCDFDDF
16:25:24:476;641;587;596;654;DF;8.01;ADFBDFCDFDDF
16:25:24:486;696;638;648;709;DF;8.01;ADFBDFCDFDDF
16:25:24:499;752;689;701;763;DF;8.01;ADFBDFCDFDDF
16:25:24:506;808;741;754;818;DF;8.01;ADFBDFCDFDDF
16:25:24:526;864;793;808;873;DF;8.01;ADFBDFCDFDDF
16:25:24:527;920;846;862;928;DF;8.01;ADFBDFCDFDDF
16:25:24:536;977;899;916;983;DF;8.01;ADFBDFCDFDDF
16:25:24:547;1033;952;970;1037;DF;8.01;ADFBDFCDFDDF
16:25:24:557;1090;1005;1025;1093;DF;8.01;ADFBDFCDFDDF
16:25:24:566;1146;1058;1079;1147;DF;8.01;ADFBDFCDFDDF
16:25:24:577;1203;1111;1135;1202;DF;8.01;ADFBDFCDFDDF
16:25:24:586;1260;1164;1189;1256;DF;8.01;ADFBDFCDFDDF
16:25:24:599;1317;1215;1244;1311;DF;8.01;ADFBDFCDFDDF
16:25:24:606;1374;1266;1299;1365;DF;8.01;ADFBDFCDFDDF
16:25:24:617;1430;1317;1355;1420;DF;8.01;ADFBDFCDFDDF
16:25:24:627;1487;1367;1410;1475;DF;8.01;ADFBDFCDFDDF
16:25:24:636;1544;1418;1465;1529;DF;8.01;ADFBDFCDFDDF
16:25:24:647;1601;1468;1520;1583;DF;8.01;ADFBDFCDFDDF
16:25:24:657;1658;1517;1576;1638;DF;8.01;ADFBDFCDFDDF
16:25:24:667;1716;1566;1631;1692;DF;8.01;ADFBDFCDFDDF
16:25:24:676;1773;1614;1687;1745;DF;8.01;ADFBDFCDFDDF
16:25:24:686;1830;1662;1742;1799;DF;8.01;ADFBDFCDFDDF
16:25:24:697;1888;1711;1798;1853;DF;8.01;ADFBDFCDFDDF
16:25:24:706;1945;1760;1853;1906;DF;8.01;ADFBDFCDFDDF
16:25:24:716;2002;1808;1909;1960;DF;8.01;ADFBDFCDFDDF
16:25:24:727;2059;1857;1964;2013;DF;8.01;ADFBDFCDFDDF
16:25:24:736;2116;1906;2019;2066;DF;8.01;ADFBDFCDFDDF
16:25:24:747;2174;1955;2075;2119;DF;8.01;ADFBDFCDFDDF
16:25:24:757;2231;2004;2130;2171;DF;8.01;ADFBDFCDFDDF
16:25:24:770;2288;2052;2185;2222;DF;8.01;ADFBDFCDFDDF
16:25:24:777;2344;2101;2239;2273;DF;8.01;ADFBDFCDFDDF
16:25:24:786;2402;2150;2294;2324;DF;8.01;ADFBDFCDFDDF
16:25:24:797;2458;2198;2348;2375;DF;8.01;ADFBDFCDFDDF
16:25:24:806;2515;2246;2401;2426;DF;8.01;ADFBDFCDFDDF
16:25:24:817;2572;2295;2455;2477;DF;8.01;ADFBDFCDFDDF
16:25:24:827;2628;2342;2507;2528;DF;8.01;ADFBDFCDFDDF
16:25:24:836;2685;2390;2559;2579;DF;8.01;ADFBDFCDFDDF
16:25:24:847;2741;2438;2611;2630;DF;8.01;ADFBDFCDFDDF
16:25:24:857;2798;2485;2662;2681;DF;8.01;ADFBDFCDFDDF
16:25:24:867;2854;2532;2712;2732;DF;8.01;ADFBDFCDFDDF
16:25:24:877;2911;2579;2761;2783;DF;8.01;ADFBDFCDFDDF
16:25:24:887;2968;2626;2810;2834;DF;8.01;ADFBDFCDFDDF
16:25:24:896;3024;2673;2858;2885;DF;8.01;ADFBDFCDFDDF
16:25:24:907;3080;2719;2906;2937;DF;8.01;ADFBDFCDFDDF
16:25:24:946;3306;2902;3088;3143;DF;8.01;ADFBDFCDFDDF
16:25:24:927;3194;2811;2998;3040;DF;8.01;ADFBDFCDFDDF
16:25:24:937;3250;2857;3043;3091;DF;8.01;ADFBDFCDFDDF
16:25:24:916;3137;2765;2952;2988;DF;8.01;ADFBDFCDFDDF
16:25:24:957;3361;2947;3133;3195;DF;8.01;ADFBDFCDFDDF
16:25:24:967;3417;2992;3177;3247;DF;8.01;ADFBDFCDFDDF
16:25:24:977;3472;3036;3220;3298;DF;8.01;ADFBDFCDFDDF
16:25:24:987;3528;3079;3263;3349;DF;8.01;ADFBDFCDFDDF
16:25:24:996;3583;3122;3305;3401;DF;8.01;ADFBDFCDFDDF
16:25:25:007;3638;3166;3347;3452;DF;8.01;ADFBDFCDFDDF
16:25:25:017;3693;3207;3389;3503;DF;8.01;ADFBDFCDFDDF
16:25:25:036;3748;3249;3431;3554;DF;8.01;ADFBDFCDFDDF
16:25:25:036;3803;3290;3473;3605;DF;8.01;ADFBDFCDFDDF
16:25:25:047;3858;3333;3514;3655;DF;8.01;ADFBDFCDFDDF
16:25:25:056;3913;3375;3555;3706;DF;8.01;ADFBDFCDFDDF
16:25:25:067;3968;3417;3596;3757;DF;8.01;ADFBDFCDFDDF
16:25:25:085;4022;3460;3637;3807;DF;8.01;ADFBDFCDFDDF
16:25:25:088;4077;3502;3677;3858;DF;8.01;ADFBDFCDFDDF
16:25:25:097;4132;3545;3718;3909;DF;8.01;ADFBDFCDFDDF
16:25:25:106;4187;3588;3759;3959;DF;8.01;ADFBDFCDFDDF
16:25:25:117;4242;3631;3799;4009;DF;8.01;ADFBDFCDFDDF
16:25:25:127;4296;3674;3839;4060;DF;8.01;ADFBDFCDFDDF
16:25:25:137;4352;3718;3879;4111;DF;8.01;ADFBDFCDFDDF
16:25:25:147;4406;3761;3919;4161;DF;8.01;ADFBDFCDFDDF
16:25:25:157;4461;3805;3959;4212;DF;8.01;ADFBDFCDFDDF
16:25:25:167;4516;3848;3997;4263;DF;8.01;ADFBDFCDFDDF
16:25:25:177;4570;3892;4036;4314;DF;8.01;ADFBDFCDFDDF
16:25:25:187;4625;3935;4074;4365;DF;8.01;ADFBDFCDFDDF
16:25:25:197;4680;3978;4112;4415;DF;8.01;ADFBDFCDFDDF
16:25:25:207;4734;4021;4149;4466;DF;8.01;ADFBDFCDFDDF
16:25:25:217;4789;4064;4186;4517;DF;8.01;ADFBDFCDFDDF
16:25:25:226;4843;4106;4223;4567;DF;8.01;ADFBDFCDFDDF
16:25:25:237;4898;4149;4260;4617;DF;8.01;ADFBDFCDFDDF
16:25:25:246;4952;4191;4297;4668;DF;8.01;ADFBDFCDFDDF
16:25:25:256;5007;4234;4333;4719;DF;8.01;ADFBDFCDFDDF
16:25:25:267;5061;4275;4369;4769;DF;8.01;ADFBDFCDFDDF
16:25:25:276;5116;4317;4406;4819;DF;8.01;ADFBDFCDFDDF
16:25:25:291;5170;4358;4442;4870;DF;8.01;ADFBDFCDFDDF
16:25:25:296;5224;4399;4479;4920;DF;8.01;ADFBDFCDFDDF
16:25:25:306;5278;4440;4515;4969;DF;8.01;ADFBDFCDFDDF
16:25:25:317;5332;4480;4551;5019;DF;8.01;ADFBDFCDFDDF
16:25:25:326;5386;4520;4588;5068;DF;8.01;ADFBDFCDFDDF
16:25:25:336;5440;4560;4625;5117;DF;8.01;ADFBDFCDFDDF
16:25:25:346;5494;4600;4662;5165;DF;8.01;ADFBDFCDFDDF
16:25:25:356;5548;4639;4699;5214;DF;8.01;ADFBDFCDFDDF
16:25:25:367;5602;4678;4736;5262;DF;8.01;ADFBDFCDFDDF
16:25:25:376;5656;4716;4773;5310;DF;8.01;ADFBDFCDFDDF
16:25:25:386;5711;4755;4811;5358;DF;8.01;ADFBDFCDFDDF
16:25:25:396;5765;4793;4848;5407;DF;8.01;ADFBDFCDFDDF
16:25:25:406;5819;4830;4886;5455;DF;8.01;ADFBDFCDFDDF
16:25:25:417;5873;4867;4924;5504;DF;8.01;ADFBDFCDFDDF
16:25:25:427;5928;4903;4962;5553;DF;8.01;ADFBDFCDFDDF
16:25:25:437;5982;4939;5000;5603;DF;8.01;ADFBDFCDFDDF
16:25:25:446;6036;4974;5038;5653;DF;8.01;ADFBDFCDFDDF
16:25:25:456;6090;5010;5076;5703;DF;8.01;ADFBDFCDFDDF
16:25:25:466;6144;5044;5113;5753;DF;8.01;ADFBDFCDFDDF
16:25:25:477;6198;5079;5151;5803;DF;8.01;ADFBDFCDFDDF
16:25:25:486;6252;5113;5189;5854;DF;8.01;ADFBDFCDFDDF
16:25:25:496;6306;5146;5227;5904;DF;8.01;ADFBDFCDFDDF
16:25:25:506;6360;5180;5264;5954;DF;8.01;ADFBDFCDFDDF
16:25:25:517;6413;5213;5301;6004;DF;8.01;ADFBDFCDFDDF
16:25:25:526;6467;5246;5338;6051;DF;8.01;ADFBDFCDFDDF
16:25:25:546;6521;5280;5375;6092;DF;8.01;ADFBDFCDFDDF
16:25:25:549;6575;5313;5412;6129;DF;8.01;ADFBDFCDFDDF
16:25:25:557;6629;5346;5449;6160;DF;8.01;ADFBDFCDFDDF
16:25:25:567;6683;5380;5486;6186;DF;8.01;ADFBDFCDFDDF
16:25:25:576;6737;5413;5523;6207;DF;8.01;ADFBDFCDFDDF
16:25:25:587;6791;5446;5559;6223;DF;8.01;ADFBDFCDFDDF
16:25:25:597;6845;5479;5596;6235;DF;8.01;ADFBDFCDFDDF
16:25:25:606;6899;5512;5632;6241;DF;8.01;ADFBDFCDFDDF
16:25:25:617;6952;5545;5668;6243;DF;8.01;ADFBDFCDFDDF
16:25:25:627;7006;5578;5704;6243;DF;8.01;ADFBDFCDFDDF
16:25:25:637;7060;5610;5739;6243;DF;8.01;ADFBDFCDFDDF
16:25:25:647;7114;5642;5774;6243;DF;8.01;ADFBDFCDFDDF
16:25:25:656;7167;5673;5809;6243;DF;8.01;ADFBDFCDFDDF
16:25:25:669;7220;5704;5843;6243;DF;8.01;ADFBDFCDFDDF
16:25:25:677;7274;5735;5876;6243;DF;8.01;ADFBDFCDFDDF
16:25:25:686;7327;5766;5909;6243;DF;8.01;ADFBDFCDFDDF
