time;x;y;z;w;velocidad;voltaje;trama
16:27:11:341;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:11:441;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:11:540;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:11:641;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:11:740;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:11:841;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:11:950;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:041;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:140;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:240;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:341;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:441;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:541;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:640;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:741;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:841;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:12:941;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:038;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:050;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:060;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:070;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:080;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:090;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:101;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:110;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:120;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:130;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:140;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:150;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:161;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:170;0;0;0;0;FF;8.16;AFFBFFCFFDFF
16:27:13:180;0;0;0;0;FF;8.16;AFFBFFCFFDFF
