time;x;y;z;w;velocidad;voltaje;trama
16:33:01:102;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:112;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:122;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:132;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:142;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:155;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:162;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:172;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:182;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:192;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:202;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:212;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:222;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:232;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:242;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:252;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:262;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:272;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:282;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:292;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:302;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:312;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:322;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:332;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:342;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:352;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:362;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:372;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:382;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:392;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:402;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:412;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:422;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:432;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:460;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:460;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:462;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:472;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:482;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:492;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:502;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:512;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:522;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:532;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:542;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:552;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:562;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:572;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:591;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:592;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:602;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:612;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:622;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:632;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:642;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:652;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:662;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:672;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:682;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:692;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:702;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:712;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:722;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:732;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:742;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:752;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:762;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:773;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:782;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:792;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:802;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:812;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:822;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:832;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:842;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:852;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:862;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:872;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:884;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:892;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:902;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:912;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:922;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:932;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:942;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:952;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:962;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:972;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:982;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:01:992;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:002;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:012;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:022;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:032;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:042;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:052;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:062;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:072;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:082;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:101;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:102;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:112;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:122;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:132;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:142;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:152;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:162;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:172;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:183;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:192;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:202;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:212;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:223;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:232;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:242;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:252;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:262;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:272;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:282;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:292;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:302;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:312;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
16:33:02:322;17375;6821;7795;6502;FF;8.16;aFFbFFcFFdFF
